fpType,relIndex,absIndex,fpName,smarts
insilico,3047,11548,Un11548,[CH3][CH2]O[cH0]1:[cH1]:[cH0](:[cH1]:[cX3](:[cH0]1[#8]))[#6]
insilico,3048,11549,Un11549,[#7][CH1]([CH2][CH2][CH2]N[#6])[#6]
insilico,3049,11556,Un11556,[CX4]([CX4]([CX4]([CH3])[CH3])([CH2][CX4]))
insilico,3050,11558,Un11558,[NX3][CH1]([CX4])[CH1]([CX4][OX2])[OH1]
insilico,3051,11559,Un11559,[OX2][cX3](a)[cH1][cX3]([cX3]([cX3](a)[OX2]))
insilico,3052,11560,Un11560,[cH1]1[cH1][cH1][cH0]([cH1][cH1]1)[CH2][NH1][cX3](a)a
insilico,3053,11562,Un11562,N[CH2][CH2][CH2][CH2][CH2][CH2][CH2][#6]
insilico,3054,11563,Un11563,O=[N+]([cH0](:[cH0](:[#6])O):[#6])[O-]
insilico,3055,11566,Un11566,[cX3]([cH0]([cH0]([cX3](a))[ClH0])[OH1])a
insilico,3056,11571,Un11571,[CX4]([CX4][OH0][CX4])[CX4]([CH3])
insilico,3057,11572,Un11572,[#8]=[CH0]([#8])[CH1]([CH2][CH2][CH2][#6])[#7]
insilico,3058,11573,Un11573,[cX3](a)(a)-[cX3](a)[nH0][cX3]([cH1][cX3](a))
insilico,3059,11574,Un11574,[cX3]([cX3]([cX3](a)[SH0][cX3]([cH1][cH1][cX3]a)a))a
insilico,3060,11575,Un11575,[CX4][CX4]([CH1]([CH1]([CX4])[OH1])[NX3])
insilico,3061,11577,Un11577,[CX4]([CH1]1[CX4]([CX4]([CH1]([OH0]1)[nX3](a)[cX3](a))))
insilico,3062,11579,Un11579,[#8][cH0]1:[cH1]:[cX3]:[cH1]:[cH0](:[cH0]1[#6])[#8]
insilico,3063,11584,Un11584,[CX3]([NX3])[NX3]
insilico,3064,11585,Un11585,[CX4]([CX4]([CH2][CX4]))[cH0]1[cX3][cH1][cH1][cX3]([cH1]1)
insilico,3065,11586,Un11586,[CX4]([CX4]([CX4]([CX4])))[cH0]1[cH1][cH1][cX3]([cH1][cH1]1)
insilico,3066,11588,Un11588,[#6][cH0]1:[cH1]:[cH1]:n:[cH1]:[cH1]1
insilico,3067,11589,Un11589,[cX3](a)([cX3](a)[cH0]([nX2]a)[NH2])a
insilico,3068,11591,Un11591,[CH3][CH0]([#6])([CH0]([CH2][#6])=[CH1][#6])[#6]
insilico,3069,11592,Un11592,S=[CH0](N[cH0]1:[cH1]:[#6]:[#6]:[cH1]:[cH1]1)N
insilico,3070,11593,Un11593,[#6][CH1]([CH1]([CH0](=[#8])N[CH1]([#6])[#6])N)[#8]
insilico,3071,11596,Un11596,[CH3][CX4]([CH2][CX3](=[CH1][CX4][CX4]))
insilico,3072,11598,Un11598,O[CH2][CH1]([#6])O
insilico,3073,11599,Un11599,[CH3][CH0]1([CH1]([CH2][CH1]([#6][#6]1)[#8])[#6])[#6]
insilico,3074,11600,Un11600,[#6][CH1]([#6])[CH1]([CH1]([CH3])[#6])[#8]
insilico,3075,11602,Un11602,[cX3]1[cH0]([cH0]([cX3]([cH1][cH1]1))[CX3]=[OH0])[OH0][CH3]
insilico,3076,11604,Un11604,[CH3][CH1]([CH1]([#6])O[CH1]([#6])O[CH1]([#6])[CH3])[#8]
insilico,3077,11605,Un11605,[cX3]([cX3](a))[cH0]([cX3](a)a)[cX3]([cX3]([cX3](a)))
